Street,HouseStyle,OverallQual,Functional,MiscFeature,SalePrice,LotArea,YearBuilt,1stFlrSF,2ndFlrSF,YrSold,BedroomAbvGr,KitchenAbvGr
Pave,1.5Fin,5,Typ,,115000,8500,1919,997,520,2007,3,1
Pave,1Story,6,Typ,,190000,11751,1977,1844,0,2010,3,1
Pave,1.5Fin,6,Typ,,136900,9525,1954,1216,639,2006,4,1
Pave,SLvl,7,Typ,,180000,7750,2000,774,656,2010,3,1
Pave,2Story,7,Typ,,383970,9965,2007,1282,1414,2007,4,1
Pave,1Story,6,Typ,,217000,21000,1953,2259,0,2007,3,1
Pave,2Story,6,Typ,,259500,7259,1945,1436,884,2007,3,1
Pave,2Story,6,Typ,,176000,3230,1999,729,729,2007,2,1
Pave,1Story,5,Typ,,139000,11616,1962,1092,0,2009,3,1
Pave,1Story,5,Typ,,155000,8536,2006,1125,0,2007,2,1
Pave,2Story,7,Typ,,320000,12376,1990,1699,1523,2010,5,1
Pave,2Story,6,Typ,,163990,8461,2005,728,728,2006,3,1
Pave,SLvl,6,Typ,,180000,21453,1969,988,0,2006,1,1
Pave,1.5Fin,4,Typ,,100000,6060,1939,772,351,2007,3,1
Pave,1Story,6,Typ,,136000,9464,1958,1080,0,2008,3,1
Pave,1Story,6,Typ,,153900,7892,1993,1199,0,2008,2,1
Pave,1Story,6,Typ,,181000,17043,1979,1586,0,2009,3,1
Pave,1.5Fin,6,Typ,,84500,6780,1935,520,0,2006,2,1
Pave,1Story,6,Typ,,128000,4928,1976,958,0,2007,2,1
Pave,1.5Unf,5,Typ,,87000,4388,1930,840,0,2007,3,1
Pave,2Story,6,Typ,,155000,7590,1966,660,688,2006,3,1
Pave,1Story,5,Typ,,150000,8973,1958,1053,0,2006,3,1
Pave,2Story,7,Typ,,226000,14200,1966,1216,941,2006,4,1
Pave,2Story,6,Typ,,244000,12224,2000,1022,1032,2009,3,1
Pave,1Story,5,Typ,,150750,7388,1959,1327,0,2007,3,1
Pave,1Story,8,Typ,,220000,6853,2001,1296,0,2009,2,1
Pave,1Story,5,Min1,,180000,10335,1968,1721,0,2006,3,1
Pave,1Story,7,Typ,,174000,10400,1970,1682,0,2008,3,1
Pave,1Story,5,Typ,,143000,10355,1967,1214,0,2007,3,1
Pave,1Story,7,Typ,,171000,11070,1988,1959,0,2006,5,2
Pave,2Story,8,Typ,,230000,9066,1999,1004,848,2008,3,1
Pave,2Story,6,Typ,,231500,15426,1997,928,836,2009,3,1
Pave,1Story,4,Typ,,115000,10500,1971,864,0,2010,3,1
Pave,1Story,7,Typ,,260000,11645,2005,1734,0,2006,3,1
Pave,1.5Fin,5,Typ,,166000,8520,1952,910,475,2010,4,1
Pave,1Story,7,Typ,,204000,10335,1999,1501,0,2009,3,1
Pave,1Story,5,Typ,,125000,9100,1963,1728,0,2006,6,2
Pave,2Story,6,Maj1,,130000,2522,2004,970,739,2006,3,1
Pave,1Story,5,Typ,,105000,6120,1931,875,0,2009,2,1
Pave,2Story,7,Typ,,222500,9505,2001,884,1151,2010,3,1
Pave,1Story,7,Typ,,141000,7500,2004,1080,0,2008,3,1
Pave,1.5Fin,5,Typ,,115000,6240,1936,896,448,2006,3,1
Pave,1Story,5,Typ,,122000,10356,1975,969,0,2007,3,1
Pave,1Story,8,Typ,,372402,13891,2007,1710,0,2008,2,1
Pave,2Story,6,Typ,,190000,14803,1971,1097,896,2006,4,1
Pave,1Story,6,Typ,,235000,13500,1960,1252,0,2008,1,1
Pave,1Story,6,Typ,,125000,11340,1923,1200,0,2006,4,1
Pave,1.5Fin,6,Typ,,79000,9600,1924,572,524,2008,2,1
Pave,1Story,5,Typ,,109500,7200,1950,1040,0,2006,2,1
Pave,2Story,8,Typ,,269500,12003,2009,774,1194,2010,4,1
Pave,2Story,7,Typ,,254900,12552,2004,991,956,2010,3,1
Pave,2Story,7,Typ,,320000,19378,2005,1392,1070,2006,4,1
Pave,1Story,6,Typ,,162500,11120,1984,1232,0,2008,3,1
Pave,2Story,9,Typ,,412500,13688,2003,1572,1096,2008,3,1
Pave,1Story,7,Typ,,220000,12182,2005,1541,0,2010,3,1
Pave,1.5Unf,4,Typ,,103200,5500,1956,882,0,2007,1,1
Pave,1Story,6,Typ,,152000,5400,1926,1149,467,2007,3,1
Pave,1.5Fin,5,Typ,,127500,10106,1940,808,547,2008,4,2
Pave,1Story,5,Typ,,190000,10708,1955,1867,0,2009,2,1
Pave,2Story,8,Typ,,325624,10562,2007,1610,551,2007,3,1
Pave,2Story,7,Typ,,183500,8244,2004,840,880,2007,3,1
Pave,1Story,8,Typ,,228000,16669,1981,1707,0,2006,2,1
Pave,1.5Fin,5,Typ,,128500,12358,1941,854,0,2007,2,1
Pave,1Story,6,Typ,,215000,31770,1960,1656,0,2010,3,1
Pave,2Story,7,Typ,,239000,5306,1987,1064,703,2006,2,1
Pave,1Story,6,Typ,,163000,10197,1961,1362,0,2008,3,1
Pave,1Story,6,Min2,,184000,12416,1986,1651,0,2008,3,1
Pave,1Story,6,Typ,,243000,12615,1950,2158,0,2007,4,1
Pave,2Story,6,Typ,,211000,10029,1988,1164,896,2007,4,1
Pave,1.5Fin,5,Typ,,172500,13650,1958,1252,668,2006,4,1
Pave,1Story,9,Typ,,501837,17423,2008,2234,0,2009,1,1
Pave,1Story,5,Typ,,100000,8520,1923,968,0,2007,2,1
Pave,2Story,6,Typ,,177000,2117,2000,769,756,2007,3,1
Pave,2Story,7,Typ,,200100,7588,1920,901,901,2006,4,1
Pave,1Story,5,Typ,,120000,9060,1957,1340,0,2007,3,1
Pave,1.5Fin,7,Mod,,200000,11426,2003,1362,720,2008,3,1
Pave,1.5Fin,5,Typ,,127000,7438,1908,936,316,2006,3,1
Pave,2.5Fin,10,Typ,,475000,22950,1892,1518,1518,2006,4,1
Pave,SLvl,7,Typ,,173000,9947,1990,1217,0,2009,3,1
Pave,1.5Fin,5,Min2,,135000,10410,1916,808,704,2009,3,1
Pave,SFoyer,5,Typ,,153337,7018,1979,1224,0,2009,2,2
Pave,1Story,8,Typ,,286000,4923,2001,1593,0,2008,0,1
Pave,2Story,8,Maj1,,315000,10570,1932,1549,1178,2007,3,1
Pave,2Story,7,Typ,,184000,7472,1972,725,754,2007,4,1
Pave,1Story,7,Typ,,192000,9017,1999,1431,0,2009,3,1
Pave,2Story,7,Maj1,,130000,2522,2004,970,739,2006,3,1
Pave,1Story,5,Typ,,127000,7180,1972,864,0,2008,3,1
Pave,2Story,6,Typ,,148500,2280,1976,855,601,2009,3,1
Pave,1Story,7,Typ,,311872,9416,2007,1726,0,2007,3,1
Pave,2Story,8,Typ,,235000,25419,1918,1360,1360,2006,4,1
Pave,2.5Fin,6,Typ,,104000,5520,1912,929,929,2009,5,1
Pave,1Story,8,Typ,,274900,9591,2004,1713,0,2009,3,1
Pave,1Story,4,Typ,,140000,8546,2003,1121,0,2010,2,1
Pave,1Story,6,Typ,,171500,10125,1977,1279,0,2008,3,1
Pave,1.5Fin,6,Min1,,112000,7000,1924,865,445,2006,2,1
Pave,1Story,6,Typ,,149000,4438,2004,848,0,2008,1,1
Pave,1.5Fin,5,Typ,,110000,3500,1947,720,564,2009,2,1
Pave,1Story,7,Typ,,180500,11851,1990,1442,0,2009,3,1
Pave,1Story,5,Min2,,143900,13673,1962,1696,0,2007,3,1
Pave,1Story,4,Typ,,141000,12493,1960,1100,0,2008,3,1
Pave,2Story,7,Typ,,277000,14364,1988,1180,882,2007,3,1
Pave,1Story,6,Typ,,145000,8250,1964,1092,0,2008,3,1
Pave,1Story,5,Typ,,98000,5604,1925,864,0,2008,2,1
Pave,1Story,6,Typ,,186000,10420,2009,1212,0,2010,3,1
Pave,2Story,7,Typ,,252678,8640,2009,932,920,2009,3,1
Pave,1Story,5,Typ,,156000,13568,1995,990,0,2006,3,1
Pave,2Story,6,Typ,Shed,161750,10900,1977,689,703,2010,3,1
Pave,1Story,5,Min1,,134450,10011,1957,1236,0,2006,2,1
Pave,1Story,7,Typ,,210000,8450,2004,1436,0,2008,3,1
Pave,2Story,4,Typ,,107000,9906,1925,810,518,2006,3,1
Pave,1.5Fin,7,Typ,,311500,15660,1939,1137,817,2008,3,1
Pave,1Story,7,Typ,,167240,3010,2005,1248,0,2006,2,1
Pave,1Story,7,Typ,,204900,8990,2006,1498,0,2006,2,1
Pave,2Story,6,Typ,,200000,8068,2002,1010,1257,2009,4,1
Pave,2Story,6,Typ,,179900,11475,1975,811,741,2006,3,1
Pave,1Story,4,Typ,,97000,10500,1971,864,0,2009,2,1
Pave,1Story,10,Typ,,386250,13472,2003,2392,0,2009,3,1
Pave,2Story,5,Typ,,112000,1680,1971,630,672,2009,3,1
Pave,2Story,7,Typ,,290000,9950,1995,1214,1306,2007,4,1
Pave,2Story,6,Typ,,106000,1869,1970,483,504,2008,2,1
Pave,1Story,5,Typ,,125000,8521,1967,912,0,2010,3,1
Pave,1Story,7,Typ,,192500,3182,2005,1555,0,2009,2,1
Pave,1Story,6,Typ,,148000,8760,1959,1194,0,2010,3,1
Pave,2Story,8,Typ,,403000,15138,1995,1490,1304,2009,4,1
Pave,2Story,6,Typ,,94500,1680,1972,483,504,2006,2,1
Pave,1Story,5,Typ,,128200,10650,1976,894,0,2010,3,1
Pave,2Story,6,Typ,,216500,7851,2002,860,1100,2010,4,1
Pave,2Story,6,Typ,,89500,1680,1971,483,504,2008,2,1
Pave,1Story,7,Typ,,185500,8773,2004,1414,0,2010,3,1
Pave,2Story,7,Typ,,194500,9453,1993,1014,730,2010,3,1
Pave,1Story,8,Typ,,318000,12030,2007,1694,0,2007,3,1
Pave,1.5Fin,6,Typ,,113000,8741,1945,798,689,2010,3,1
Pave,1Story,8,Typ,,262500,9000,2008,1566,0,2010,3,1
Pave,1Story,5,Typ,,110500,3880,1945,866,0,2007,2,1
Pave,1.5Fin,5,Typ,,79000,5000,1900,889,551,2006,3,1
Pave,2Story,6,Typ,,120000,10762,1980,626,591,2009,3,1
Pave,2Story,7,Typ,,205000,8880,1994,1222,888,2010,3,1
Pave,1Story,7,Typ,,241500,10400,1988,1872,0,2006,3,1
Pave,2Story,6,Typ,,137000,9142,1910,908,1020,2006,4,2
Pave,1Story,6,Typ,,140000,11310,1954,1375,0,2006,2,1
Pave,2Story,7,Typ,,180000,11317,2003,840,828,2007,3,1
Pave,1.5Fin,6,Typ,Shed,277000,159000,1958,1444,700,2007,4,1
Pave,1Story,3,Mod,Shed,76500,5350,1940,1306,0,2010,3,1
Pave,1Story,8,Typ,,235000,4750,2006,1625,0,2007,2,1
Pave,2Story,6,Typ,,173000,8366,2004,798,842,2008,3,1
Pave,SLvl,6,Min1,,158000,9350,1964,1302,0,2007,3,1
Pave,1Story,5,Typ,,145000,8400,1957,1314,0,2010,3,1
Pave,2Story,7,Typ,,230000,8738,1999,1005,1286,2006,4,1
Pave,2Story,6,Typ,,207500,8791,2003,864,864,2008,3,1
Pave,1Story,7,Typ,,220000,8814,2006,1604,0,2009,3,1
Pave,2Story,7,Typ,,231500,12435,2001,963,829,2008,3,1
Pave,1Story,5,Typ,,97000,12702,1956,882,0,2008,2,1
Pave,SLvl,6,Typ,,176000,19296,1962,1382,0,2009,3,1
Pave,2Story,8,Typ,,276000,9588,2007,1482,1092,2007,3,1
Pave,SLvl,6,Typ,,151000,8471,1977,1212,0,2006,3,1
Pave,1.5Fin,5,Typ,,130000,5500,1929,926,0,2010,3,1
Pave,1Story,5,Typ,,73000,5232,1925,764,0,2008,2,1
Pave,1Story,6,Typ,,175500,12090,1981,1422,0,2008,3,1
Pave,2Story,6,Typ,,185000,11207,1997,802,709,2006,3,1
Pave,2.5Fin,5,Typ,,179500,8400,1939,1052,720,2008,4,1
Pave,1Story,5,Typ,,120500,6900,1940,778,0,2008,2,1
Pave,1Story,6,Typ,,148000,7917,1976,1113,0,2007,3,1
Pave,2Story,8,Typ,,266000,10728,2006,1095,844,2006,3,1
Pave,1Story,7,Mod,,241500,39104,1954,1363,0,2008,2,1
Pave,2Story,8,Typ,,290000,11764,1999,1164,1106,2010,4,1
Pave,1Story,6,Min1,,139000,9600,1958,1632,0,2009,3,1
Pave,1Story,5,Typ,,124500,8314,1982,816,0,2007,2,1
Pave,1.5Fin,7,Typ,,205000,7264,1925,952,596,2009,3,1
Pave,1Story,7,Typ,,201000,9196,2003,1560,0,2010,3,1
Pave,1Story,4,Typ,,141000,19138,1951,864,0,2010,2,1
Pave,1Story,9,Typ,,415298,14450,2006,2121,0,2007,3,1
Pave,2Story,7,Typ,,192000,10005,1977,1156,866,2008,4,1
Pave,2Story,7,Typ,,228500,11287,1989,1175,807,2007,3,1
Pave,1Story,6,Typ,,185000,7200,2006,1262,0,2006,2,1
Pave,1Story,7,Typ,,207500,5063,2007,1314,0,2009,2,1
Pave,1Story,8,Typ,,244600,9612,2008,1468,0,2009,3,1
Pave,1Story,6,Typ,,179200,8012,1992,1575,0,2007,2,1
Pave,2Story,7,Typ,,164700,4251,2006,625,625,2007,2,1
Pave,1.5Fin,6,Typ,,159000,9786,1962,1085,649,2006,3,1
Pave,1Story,4,Typ,,88000,8125,1971,858,0,2006,3,1
Pave,1Story,5,Typ,,122000,9819,1967,900,0,2010,3,1
Pave,2Story,6,Typ,,153575,8730,1915,698,698,2007,3,1
Pave,2Story,8,Typ,,233230,15611,2006,1079,840,2006,3,1
Pave,2Story,5,Typ,,135900,5687,1912,936,780,2008,6,1
Pave,1.5Fin,5,Min2,,131000,11409,1949,1148,568,2009,3,1
Pave,2Story,7,Typ,,235000,16659,1977,1468,795,2006,3,1
Pave,1Story,6,Typ,,167000,9600,1953,1644,0,2009,3,1
Pave,SLvl,6,Typ,,142500,7937,1984,1003,0,2006,3,1
Pave,1.5Fin,5,Typ,,152000,13710,1950,910,648,2007,4,1
Pave,2Story,7,Typ,,239000,7399,1997,975,975,2007,3,1
Pave,2Story,6,Typ,,175000,11700,1968,1041,702,2007,3,1
Pave,1Story,6,Typ,,158500,14000,1950,1152,0,2009,3,1
Pave,1Story,5,Typ,,157000,15750,1953,1336,0,2006,2,1
Pave,2Story,8,Typ,,267000,16226,1998,1210,1242,2007,4,1
Pave,1Story,7,Typ,,205000,13704,2001,1541,0,2006,3,1
Pave,1Story,5,Typ,,149900,9800,1972,894,0,2006,3,1
Pave,2.5Fin,7,Typ,,295000,18386,1880,1675,1818,2008,3,1
Pave,1Story,8,Typ,,305900,10386,2004,2000,0,2007,3,1
Pave,2Story,7,Typ,,225000,13474,1990,1122,1121,2007,4,1
Pave,1.5Fin,6,Typ,,89500,7920,1920,1035,371,2008,3,1
Pave,1Story,4,Typ,,82500,12342,1940,861,0,2009,1,1
Pave,1Story,9,Typ,,360000,12378,2003,1944,0,2006,3,1
Pave,2Story,6,Typ,,165600,7685,1993,697,804,2006,3,1
Pave,1Story,6,Typ,,132000,8000,1948,972,0,2009,2,1
Pave,1.5Fin,5,Typ,,119900,7800,1939,793,325,2006,3,1
Pave,1Story,7,Typ,,375000,215245,1965,2036,0,2009,3,1
Pave,2Story,7,Typ,,178000,9600,1925,832,809,2006,3,1
Pave,2Story,7,Typ,,188500,7795,2004,716,716,2009,3,1
Pave,2Story,7,Typ,,260000,13005,1980,1153,1200,2009,4,1
Pave,2Story,8,Typ,,270000,9000,2006,1088,871,2007,3,1
Pave,2Story,7,Typ,,260000,9900,1993,1372,1274,2009,4,1
Pave,SLvl,7,Typ,,187500,14115,1980,1472,0,2009,3,1
Pave,2Story,9,Typ,,342643,16259,2006,1249,1347,2006,4,1
Pave,2Story,8,Typ,,354000,12099,2004,1136,1332,2007,4,1
Pave,2Story,7,Typ,,301000,10380,1986,1553,1177,2007,4,1
Pave,1Story,3,Typ,,126175,5820,1955,1163,0,2006,3,1
Pave,SLvl,7,Typ,,242000,11275,1967,1898,1080,2010,5,1
Pave,1.5Unf,5,Typ,,87000,5000,1941,803,0,2007,2,1
Pave,1Story,8,Typ,,324000,10846,1993,1719,0,2008,1,1
Pave,1Story,6,Typ,,145250,11600,1960,1383,0,2006,3,1
Pave,2.5Unf,6,Typ,,214500,11888,1916,1445,689,2009,5,1
Pave,2Story,5,Typ,,78000,6402,1920,596,596,2009,3,1
Pave,1Story,5,Typ,,119000,10624,1964,1728,0,2007,6,2
Pave,1Story,5,Typ,,139000,8176,1958,1056,0,2007,3,1
Pave,1Story,8,Typ,,284000,10655,2003,1629,0,2009,3,1
Pave,1Story,7,Typ,,207000,8198,2004,1358,0,2008,2,1
Pave,2Story,6,Typ,,192000,9042,1998,943,695,2008,3,1
Grvl,1.5Fin,5,Typ,Shed,228950,164660,1965,1619,167,2008,3,1
Pave,1Story,9,Typ,,377426,14157,2005,1922,0,2007,3,1
Pave,1Story,7,Typ,,214000,9135,2002,1536,0,2008,3,1
Pave,1Story,7,Typ,Shed,202500,14145,1984,1621,0,2006,3,1
Pave,1Story,6,Typ,,155000,12400,1958,1215,0,2009,3,1
Pave,2Story,8,Typ,,202900,14191,2002,993,915,2010,4,1
Pave,1Story,4,Typ,,82000,8400,1950,841,0,2009,2,1
Pave,1Story,3,Typ,,87500,8544,1949,1040,0,2006,2,2
Pave,1Story,9,Typ,,266000,8849,2005,1684,0,2008,2,1
Pave,2Story,5,Typ,,85000,2592,1976,536,576,2010,3,1
Pave,1.5Fin,6,Typ,,140200,6435,1939,972,605,2006,3,1
Pave,1Story,6,Typ,Gar2,151500,12772,1960,958,0,2007,2,1
Pave,1Story,6,Typ,,157500,17600,1960,1478,0,2009,3,1
Pave,2Story,7,Typ,,154000,2448,2003,764,862,2008,2,1
Pave,2Story,9,Typ,,437154,20431,2005,1848,880,2006,4,1
Pave,1Story,9,Typ,,318061,7820,2007,1869,0,2007,2,1
Pave,1Story,7,Typ,,190000,5271,1986,1453,0,2006,2,1
Pave,1.5Fin,5,Typ,,95000,9084,1941,616,495,2008,3,1
Pave,1Story,6,Typ,,105900,8520,1928,720,0,2010,2,1
Pave,1.5Fin,6,Typ,,140000,8400,1940,1192,403,2006,2,1
Pave,1Story,6,Typ,,177500,11249,1995,1200,0,2007,3,1
Pave,1Story,6,Typ,,173000,9248,1992,1167,0,2009,3,1
Pave,1Story,5,Typ,,134000,4224,1976,1142,0,2007,3,1
Pave,SLvl,5,Min2,,130000,6930,1958,1352,0,2006,3,1
Pave,2Story,8,Typ,,280000,12011,1998,1086,838,2006,3,1
Pave,SFoyer,6,Typ,,156000,7540,1978,912,0,2007,2,1
Pave,1.5Fin,5,Typ,,145000,9144,1940,988,517,2008,3,1
Pave,SFoyer,7,Typ,,198500,7301,2003,495,1427,2009,4,1
Pave,2Story,6,Typ,,118000,1680,1972,483,504,2009,2,1
Pave,2Story,6,Typ,,190000,18800,1976,790,784,2006,3,1
Pave,2Story,5,Typ,,147000,10690,1920,672,672,2009,3,1
Pave,1Story,6,Typ,,159000,9500,1963,1394,0,2009,3,1
Pave,SLvl,6,Typ,,165000,9150,1962,1431,0,2008,3,1
Pave,1Story,5,Typ,,132000,7800,1954,1268,0,2010,2,1
Pave,1Story,5,Typ,,162000,9830,1959,1287,0,2010,3,1
Pave,2Story,6,Typ,,172400,8121,2000,953,711,2006,3,1
Pave,1.5Fin,4,Min2,,134432,17120,1959,1120,468,2008,4,1
Pave,1Story,6,Typ,,125000,7175,1984,752,0,2010,2,1
Pave,1Story,5,Min2,,123000,10634,1953,1319,0,2009,3,1
Pave,2Story,7,Typ,,219500,8200,2003,847,1081,2007,4,1
Pave,1Story,1,Maj1,,61000,10020,1922,904,0,2009,1,1
Pave,SFoyer,5,Typ,,148000,8846,1996,914,0,2006,2,1
Pave,2Story,8,Typ,,340000,11143,2004,1580,886,2007,4,1
Pave,1Story,9,Typ,,394432,11394,2010,1856,0,2010,1,1
Pave,2Story,6,Typ,,179000,8123,2000,1007,793,2009,3,1
